Source Sentence,Target Sentence
ADDITIONAL AGREEMENT to the Agreement concerning products of the clock and watch industry between the European Economic Community and its Member States and the Swiss Confederation,ACCORD COMPLÉMENTAIRE à l'«accord concernant les produits horlogers entre la Communauté économique européenne ainsi que ses États membres et la Confédération suisse»
"THE COUNCIL OF THE EUROPEAN COMMUNITIES,","LE CONSEIL DES COMMUNAUTÉS EUROPÉENNES,"
"of the one part, and","d'une part,"
"THE SWISS FEDERAL COUNCIL,","LE CONSEIL FÉDÉRAL SUISSE,"
"of the other part,","d'autre part,"
WHEREAS an Agreement concerning products of the clock and watch industry between the European Economic Community and its Member States and the Swiss Confederation was signed in Geneva on 30 June 1967;,CONSIDÉRANT qu'un accord concernant les produits horlogers entre la Communauté économique européenne ainsi que ses États membres et la Confédération suisse a été signé à Genève le 30 juin 1967;
WHEREAS it is necessary for the proper functioning of that Agreement to adopt additional provisions;,CONSIDÉRANT qu'il importe pour le bon fonctionnement de cet accord de prendre des dispositions complémentaires;
WHEREAS the ordinance of the Swiss Federal Council of 23 December 1971 governs the use of the description %quot%Swiss%quot% for watches;,"CONSIDÉRANT l'ordonnance du Conseil fédéral suisse, du 23 décembre 1971, réglant l'utilisation du nom «Suisse» pour les montres;"
WHEREAS close cooperation exists in the clock and watch industry between the European Economic Community and Switzerland;,CONSIDÉRATION l'étroite coopération industrielle dans le domaine horloger entre la Communauté économique européenne et la Suisse;
"TAKING NOTE of the abolition, at the same time as this Agreement comes into force, of the rationalization grants accorded by Ebauches SA and ASUAG and of the simultaneous abolition of the quota referred to in point B 3 (b) of the abovementioned Agreement,","PRENANT ACTE de la suppression, en même temps que l'entrée en vigueur du présent accord, des primes de rationalisation accordées par Ébauches SA et l'ASUAG et de l'abolition simultanée du contingent visé au point B 3 b) de l'accord précité,"
(1)The Agreement has been drawn up in the French language only.,(1)L'accord n'a été rédigé qu'en langue française.
HAVE AGREED as follows:,SONT CONVENUS de ce qui suit:
Article 1,Article premier
The tariff reductions specified in Articles 1 and 5 of the Agreement of 30 June 1967 shall enter into force at the same time as this Agreement.,
Article 2,Article 2
"In order that a watch with a movement of Swiss manufacture as regards not less than 50 % of the value of all the constituent parts including the cost of assembly by virtue of Article 2 (2) (b) of the ordinance of the Swiss Federal Council of 23 December 1971 governing the use of the description %quot%Swiss%quot% for watches can be considered to be Swiss, a certification procedure shall be established between Switzerland and the Community in accordance with the following rules:","Afin que soit considérée comme suisse une montre dont le mouvement est de fabrication suisse pour 50 % au moins de la valeur de toutes les pièces constitutives y compris le coût de l'assemblage en vertu de l'article 2 alinéa 2 b) de l'ordonnance du Conseil fédéral suisse, du 23 décembre 1971, réglant l'utilisation du nom «Suisse» pour les montres, une procédure de certification est établie entre la Suisse et la Communauté selon les règles suivantes:"
"1. Rough watch movements manufactured in the Community and listed in the Annex to the Agreement, and the regulating organs and other constituent watch-movement parts manufactured in the Community and complementary to rough movements of Swiss or Community manufacture, shall be considered to be equivalent in quality to rough movements and parts of Swiss manufacture with comparable technical characteristics. It shall be understood that watches and watch movements assembled from these rough movements and parts must satisfy the statutory technical control requirements in Switzerland.","1. Les ébauches de mouvements de montres fabriquées dans la Communauté dont la liste figure en annexe à l'accord, ainsi que les parties réglantes et autres pièces constitutives de mouvements de montres fabriquées dans la Communauté et complémentaires des ébauches de fabrication suisse ou communautaire, sont considérées de qualité équivalente à celle des ébauches et pièces de fabrication suisse ayant des caractéristiques techniques comparables. Il est entendu que les montres et mouvements de montres assemblés à partir de ces ébauches et pièces doivent satisfaire aux exigences du contrôle technique légal en Suisse."
2. The list specified in paragraph 1 of this Article of rough movements manufactured in the Community shall be brought up to date regularly in the following manner:,"2. La liste des ébauches fabriquées dans la Communauté, prévue au paragraphe 1 du présent article, sera régulièrement mise à jour selon les modalités suivantes:"
,"a) La demande d'inscription de nouveaux calibres d'ébauches sur la liste est adressée à la Chambre suisse de l'horlogerie par les organisations horlogères de la Communauté ou tout fabricant d'ébauches établi dans la Communauté. La requête est accompagnée d'une fiche technique décrivant le calibre d'ébauches. La chambre suisse de l'horlogerie inscrit sans délai le ou les nouveaux calibres sur ladite liste. Dans les cas où l'inscription serait demandée pour un calibre d'ébauches ayant déjà été utilisé en Suisse et ayant subi des échecs au contrôle technique légal en Suisse, la Chambre suisse de l'horlogerie peut contester l'inscription. Dans cette éventualité, le requérant peut recourir à la procédure prévue au paragraphe 3 du présent article."
(b) The withdrawal of calibres of rough movements appearing on the list shall be communicated to the Chambre suisse de l'horlogerie by the associations of the clock and watch makers in the Community or by the manufacturer who had previously applied for the calibre to be entered on the list.,b) Le retrait de calibres d'ébauches figurant sur la liste est communiqué à la Chambre suisse de l'horlogerie par les organisations horlogères communautaires ou par le fabricant qui en avait antérieurement demandé l'inscription.
